Vertices,Mean Time,Lower CI,Upper CI,log_Vertices,log_Mean_Time
5,5.076885223388672e-05,4.934707235128409e-05,5.219063211648935e-05,1.6094379124341003,-9.888227536432337
15,0.00046843528747553595,0.00044423081126566217,0.0004926397636854097,2.70805020110221,-7.666112592879502
25,0.001624774932861278,0.0014972332942176265,0.0017523165715049296,3.2188758248682006,-6.42238597564744
35,0.004589114189147908,0.004149127180560559,0.005029101197735257,3.5553480614894135,-5.384068260647838
45,0.00858831882476801,0.007521483897145474,0.009655153752390545,3.8066624897703196,-4.757352275205698
55,0.018692088127136176,0.0163806600383452,0.02100351621592715,4.007333185232471,-3.9796549394570095
65,0.029691052436828565,0.025755768662831365,0.033626336210825766,4.174387269895637,-3.516909543316072
75,0.05549909114837641,0.048635657342757974,0.062362524953994844,4.31748811353631,-2.891388634068761
85,0.07622529029846188,0.06434046565802573,0.08811011493889803,4.442651256490317,-2.5740619776734586
95,0.11055019855499264,0.09407030292493537,0.1270300941850499,4.553876891600541,-2.202285575615232
105,0.16166999816894528,0.13720769045960576,0.1861323058782848,4.653960350157523,-1.8221980696945002
115,0.27365904331207275,0.23592034617034482,0.31139774045380064,4.74493212836325,-1.2958723149363398
125,0.3342995548248291,0.2818543234698363,0.3867447861798219,4.8283137373023015,-1.0957178172206588
135,0.4486625051498413,0.37708909266389085,0.5202359176357918,4.90527477843843,-0.80148433278612
145,0.6009048652648926,0.5223083245531063,0.679501405976679,4.976733742420574,-0.5093186510451561
155,0.5166470098495484,0.4059441015803284,0.6273499181187683,5.043425116919247,-0.6603954039131881
165,0.8825421142578125,0.7420467992677051,1.0230374292479198,5.10594547390058,-0.1249487697747239
175,1.1202754402160644,0.9311873551608079,1.309363525271321,5.1647859739235145,0.11357458383582492
185,1.4628571939468384,1.2524357371648112,1.6732786507288657,5.220355825078324,0.3803915054806444
195,1.7117346143722534,1.3885471813610555,2.0349220473834513,5.272999558563747,0.5375072507340101
205,2.1157575607299806,1.7266848541438007,2.5048302673161604,5.3230099791384085,0.7494129331077078
215,2.252377543449402,1.861796197467382,2.642958889431422,5.3706380281276624,0.8119863442941951
225,2.5198500680923464,2.0691716252599583,2.9705285109247344,5.41610040220442,0.9241994029645764
235,3.709314661026001,3.1128910441540256,4.3057382778979765,5.459585514144159,1.310847132068867
245,3.0231980085372925,2.434424179552823,3.6119718375217618,5.501258210544727,1.1063152143261763
255,5.282879638671875,4.42911763885925,6.1366416384845,5.541263545158426,1.664471335161314
265,4.4960809373855595,3.6156251598595945,5.376536714911524,5.579729825986222,1.5032061145168898
275,7.364654631614685,6.189175249973735,8.540134013255635,5.616771097666572,1.9966921556195112
285,9.862297382354736,8.633373744352934,11.091221020356539,5.652489180268651,2.2887191417130213
295,9.453962440490722,7.893313257193164,11.01461162378828,5.68697535633982,2.2464339594935443
305,9.445724201202392,7.751972197686009,11.139476204718775,5.720311776607412,2.2455621736310296
315,10.937104859352111,8.86797445493774,13.006235263766483,5.752572638825633,2.392161123886182
325,12.777356944084168,10.38724592342855,15.167467964739787,5.783825182329737,2.5476746156738637
335,10.329286017417907,8.186573408959958,12.471998625875855,5.814130531825066,2.3349831633583107
345,19.851261162757872,17.1988650774687,22.503657248047045,5.84354441703136,2.988267539762711
355,17.369010939598084,14.318462814281956,20.41955906491421,5.872117789475416,2.85468763790633
365,22.688545031547548,19.013192798112335,26.36389726498276,5.8998973535824915,3.1218601729608344
375,23.13328704357147,19.160948386431834,27.10562570071111,5.926926025970411,3.141272577844296
385,27.432634382247926,22.831909771760603,32.03335899273525,5.953243334287785,3.311733340521978
395,30.156900506019593,25.24330312503727,35.07049788700191,5.978885764901122,3.406413769490674
405,33.96825907707214,28.38910185176588,39.5474163023784,6.003887067106539,3.5254265320241407
415,33.82626968860626,28.16849313536021,39.484046241852305,6.028278520230698,3.5212377103399772
425,43.27189737796783,36.34934216352907,50.19445259240659,6.052089168924417,3.7675034030089054
435,43.966525483131406,37.16055680455743,50.77249416170538,6.075346031088684,3.783428559900604
445,36.570687918663026,28.824148566526524,44.31722727079953,6.09807428216624,3.5992470429951124
455,51.2156901884079,42.24828175248757,60.183098624328224,6.12029741895095,3.936045934091902
465,50.93493267536164,41.70800973330195,60.161855617421324,6.142037405587356,3.930548988265592
475,60.70648316860199,50.87212868240625,70.54083765479774,6.163314804034641,4.106050499093519
485,68.50590825080872,57.89669423561041,79.11512226600702,6.184148890937483,4.226919993385327
495,61.2077659368515,49.90316064664106,72.51237122706195,6.20455776256869,4.114274075860866
